cases.0.case_id	file_id	file_name	id
d7f95afc-d9d9-497e-b7ba-cdaec4d300b4	cf80f48f-7ecb-41e5-8aae-726c69344ef8	84bba63e-1ed1-4832-9559-d7752cc741b2.htseq_counts.txt.gz	cf80f48f-7ecb-41e5-8aae-726c69344ef8
08f63445-b236-4f97-b76a-2e5f4b3c5ff5	1ba65919-7c51-4dd8-8c34-c404fb6fc325	40c3d223-a76c-4433-a18a-ca45d03072fa.FPKM-UQ.txt.gz	1ba65919-7c51-4dd8-8c34-c404fb6fc325
51ef4f43-6fb7-45c2-86fc-40c359af4ea8	18f62c21-1343-4e18-8d48-cd69a3300344	9d26edab-7937-423c-8b5a-ac333211a29b.FPKM.txt.gz	18f62c21-1343-4e18-8d48-cd69a3300344
eee1adb4-f965-43a2-8037-ff706c37e0cc	0a0d2eee-27c9-4d14-9c25-899acde4a743	cef42a2e-ed4c-488e-aba4-41aad7bc52f9.rna_seq.star_gene_counts.tsv.gz	0a0d2eee-27c9-4d14-9c25-899acde4a743
eee1adb4-f965-43a2-8037-ff706c37e0cc	54ec2e9f-d716-4b67-b10f-e85bc841e62e	cdd8996e-fb92-4499-83fa-ef393afbe86c.FPKM-UQ.txt.gz	54ec2e9f-d716-4b67-b10f-e85bc841e62e
0199d671-0b2d-4673-9a3a-8df12e0a17cd	877991ec-ea89-4e1f-9670-61572f8ed59e	955f9541-b394-4b28-90de-9101d24f72ad.FPKM.txt.gz	877991ec-ea89-4e1f-9670-61572f8ed59e
789c341c-8797-4253-8bf9-93638c4d7de6	6132c1fc-4bf9-4fe6-ba15-6de0573ed13f	ec21019e-472d-4f1f-8cfc-bf4dd8bee7ab.FPKM-UQ.txt.gz	6132c1fc-4bf9-4fe6-ba15-6de0573ed13f
fdd01339-fd45-47e6-9d68-b2ab126d5ee9	7ea1ebf0-d47f-425c-a48c-650a6f0b8722	f888eea4-4fda-4f9f-a8cb-66e8219ce268.FPKM.txt.gz	7ea1ebf0-d47f-425c-a48c-650a6f0b8722
eee1adb4-f965-43a2-8037-ff706c37e0cc	54ebdb96-df3a-4879-9ba7-0f6790bbe8a8	f7b2476f-2087-4e10-8571-bd8e1fcbb835.htseq_counts.txt.gz	54ebdb96-df3a-4879-9ba7-0f6790bbe8a8
0199d671-0b2d-4673-9a3a-8df12e0a17cd	77c018e6-c825-4aaf-92a3-ebd50e47f34c	955f9541-b394-4b28-90de-9101d24f72ad.FPKM-UQ.txt.gz	77c018e6-c825-4aaf-92a3-ebd50e47f34c
e5cdafdf-d896-47e8-8de1-c27a3eeb4db8	50122f25-3e87-4922-a718-9acdabc90768	97512c95-1685-46a9-88db-071766889490.FPKM-UQ.txt.gz	50122f25-3e87-4922-a718-9acdabc90768
5cba90b4-5473-4826-a945-c50f2663e252	ed1595f9-f934-4971-91ff-fc4f385416ec	d4f8538e-93d1-40ba-9c89-ad59ab96c1f7.FPKM.txt.gz	ed1595f9-f934-4971-91ff-fc4f385416ec
670dc6a3-d40a-4283-8e99-c847d33b5099	8629116f-0a3e-491b-8690-c6e341616580	4584bfa8-d55e-4bdc-a045-5b036c653a2a.htseq_counts.txt.gz	8629116f-0a3e-491b-8690-c6e341616580
71f5bda6-c482-4142-9e13-ae9ee4dc3afb	f0e0af34-8642-4c1a-8cd2-3ed496eab921	0cb86557-2800-425b-9593-10dbafc99f02.rna_seq.star_gene_counts.tsv.gz	f0e0af34-8642-4c1a-8cd2-3ed496eab921
775ec7b4-96c9-4246-b025-41b4981ea736	e12d5abd-bf2b-41f2-8ebf-94ea316f28c8	1c75df78-5aca-4280-a22b-044670ba86ab.htseq_counts.txt.gz	e12d5abd-bf2b-41f2-8ebf-94ea316f28c8
d7ac181d-ce1b-4672-953e-aeff29615636	f489b97c-f582-43d8-aee6-4f8dcb15b8f6	6c9f1a8a-eb13-48fa-aee7-bc0f5d1039eb.rna_seq.star_gene_counts.tsv.gz	f489b97c-f582-43d8-aee6-4f8dcb15b8f6
c6f03bd6-e8e1-4e41-a2ec-464188a3277f	357d4902-ba96-4ac6-8063-7d57e39cf22e	dec5e5a1-09c1-404c-8f50-ff351412dc31.FPKM.txt.gz	357d4902-ba96-4ac6-8063-7d57e39cf22e
9c5b064f-99bd-4178-ad75-2b98c61c761c	fbcb78d1-e753-4dc9-b7c5-daadd0a57966	fc29320e-ef34-49e4-97a8-642487dcc95a.FPKM.txt.gz	fbcb78d1-e753-4dc9-b7c5-daadd0a57966
ad6f1cc8-b339-454e-ba88-bf4b1a5f27c9	5b6c4672-1dee-4c26-83ae-7256530651ef	62e3c932-a358-4e79-855e-8f4e4ba12e67.FPKM-UQ.txt.gz	5b6c4672-1dee-4c26-83ae-7256530651ef
5931f374-24fc-4e51-9bc4-80f9cb9d0d91	0ddc514c-de09-4143-9b79-42669d880e4e	b50204d5-5eba-4873-8a59-070d4d2a6a2c.rna_seq.star_gene_counts.tsv.gz	0ddc514c-de09-4143-9b79-42669d880e4e
